term,early_count,late_count,delta
wykes,6,0,-6
earn,9,3,-6
eliminate,7,1,-6
title,6,0,-6
show,11,5,-6
technologies,6,0,-6
february,7,0,-7
woman,12,5,-7
division,11,4,-7
make,55,48,-7
conduct,7,0,-7
ahead,7,0,-7
believe,7,0,-7
nurses,9,2,-7
institute,10,3,-7
department,21,14,-7
award,9,2,-7
illness,8,1,-7
subspecialties,7,0,-7
critical,43,36,-7
"9,000",7,0,-7
categories,7,0,-7
rubin,7,0,-7
reduce,12,5,-7
announce,8,1,-7
endovascular,7,0,-7
improve,57,50,-7
excellent,15,8,-7
point,9,2,-7
med,7,0,-7
picu,7,0,-7
kidney,8,1,-7
diabete,8,1,-7
diagnose,9,2,-7
weekly,7,0,-7
translate,10,2,-8
director,10,2,-8
august,9,1,-8
board,9,1,-8
2012,8,0,-8
curriculum,9,1,-8
15226,8,0,-8
outcomes,8,0,-8
telemedicine,8,0,-8
postnatal,8,0,-8
irvine,8,0,-8
650,8,0,-8
programs,11,3,-8
obstetrics,8,0,-8
teaching,9,1,-8
pager,8,0,-8
pcor,8,0,-8
year,33,25,-8
6661,8,0,-8
affiliation,9,1,-8
save,11,3,-8
120,8,0,-8
july,10,2,-8
everywhere,9,0,-9
medicare,13,4,-9
partnership,12,3,-9
2006,9,0,-9
michigan,9,0,-9
june,9,0,-9
close,48,39,-9
workers,9,0,-9
cardiovascular,10,1,-9
two,16,7,-9
dr.,10,1,-9
oncology,9,0,-9
neonatal,16,7,-9
cut,12,3,-9
boy,9,0,-9
available,24,15,-9
member,13,3,-10
depression,10,0,-10
next,22,12,-10
comprehensive,28,17,-11
transplant,15,4,-11
nicu,14,3,-11
preventive,13,2,-11
you,31,20,-11
stroke,18,7,-11
attack,11,0,-11
express,12,1,-11
outreach,14,3,-11
high,72,60,-12
suite,15,3,-12
report,17,5,-12
chronic,14,2,-12
generation,21,9,-12
december,13,1,-12
phone,14,1,-13
vascular,19,6,-13
contacts,13,0,-13
while,32,19,-13
low,20,7,-13
american,13,0,-13
january,15,1,-14
disclosure,14,0,-14
april,15,1,-14
fiscal,14,0,-14
september,14,0,-14
m.d.,15,0,-15
2015,17,2,-15
primary,132,117,-15
end,19,4,-15
profession,21,6,-15
practice,22,7,-15
palliative,35,20,-15
subspecialty,16,1,-15
fellowship,19,3,-16
collaborate,17,1,-16
2009,16,0,-16
october,16,0,-16
media,16,0,-16
excellence,30,13,-17
good,43,26,-17
bed,19,1,-18
bet,18,0,-18
st.,20,2,-18
harry,18,0,-18
child,58,40,-18
reform,19,0,-19
lead,39,20,-19
predictive,20,1,-19
cardiac,22,2,-20
treat,23,3,-20
4860,20,0,-20
network,37,17,-20
widely,23,2,-21
proactive,21,0,-21
nursing,30,9,-21
home,34,13,-21
share,46,24,-22
compassion,23,1,-22
november,24,2,-22
facebook,41,19,-22
disease,41,19,-22
develop,26,3,-23
disorder,27,4,-23
mobile,25,2,-23
philosophy,23,0,-23
download,25,1,-24
life,39,15,-24
academic,31,7,-24
put,24,0,-24
clinical,86,62,-24
secure,26,2,-24
release,30,6,-24
outpatient,33,8,-25
specialty,76,50,-26
three,33,7,-26
education,67,41,-26
issue,30,4,-26
medicine,101,74,-27
study,42,15,-27
offer,44,17,-27
2011,28,0,-28
app,28,0,-28
inpatient,30,1,-29
institution,34,5,-29
myhealth,45,15,-30
lawrence,31,0,-31
innovation,44,13,-31
brain,36,5,-31
across,63,32,-31
ellison,31,0,-31
along,31,0,-31
open,54,22,-32
recognize,42,9,-33
ambulatory,36,2,-34
simple,39,4,-35
heart,54,19,-35
www.stanfordhealthcare.org,36,1,-35
unit,55,15,-40
quick,45,5,-40
davis,47,7,-40
clinic,74,34,-40
other,76,33,-43
very,51,7,-44
log,44,0,-44
prism,44,0,-44
heal,60,15,-45
office,50,5,-45
group,55,10,-45
many,55,10,-45
coordinate,53,8,-45
condition,51,4,-47
navigation,47,0,-47
helpline,48,1,-47
visit,58,11,-47
time,63,16,-47
level,53,6,-47
question,50,3,-47
visitors,48,0,-48
anytime,48,0,-48
view,53,3,-50
locations,54,4,-50
patients,51,0,-51
commitment,64,13,-51
unique,54,2,-52
content,52,0,-52
leading,52,0,-52
approach,57,4,-53
school,64,11,-53
edge,65,11,-54
humanity,61,4,-57
2010,58,0,-58
find,72,12,-60
intensive,78,16,-62
system,109,46,-63
formerly,67,0,-67
calendar,67,0,-67
advice,67,0,-67
newsletters,68,0,-68
pediatric,88,17,-71
service,110,39,-71
hospital,144,70,-74
program,118,42,-76
deliver,103,26,-77
serve,98,21,-77
collaboration,93,15,-78
among,97,17,-80
follow,91,9,-82
shc,88,4,-84
offering,87,3,-84
operate,93,6,-87
plan,102,13,-89
advanced,106,16,-90
educate,95,5,-90
technology,111,20,-91
physician,122,29,-93
professionals,96,2,-94
stay,97,3,-94
professional,107,12,-95
search,96,0,-96
connected,96,0,-96
information,105,8,-97
late,125,27,-98
cancer,155,54,-101
how,125,22,-103
compassionate,118,14,-104
seek,128,22,-106
rights,109,2,-107
partners,109,2,-107
topic,121,12,-109
maps,109,0,-109
ways,112,2,-110
join,117,7,-110
virtual,114,3,-111
international,115,3,-112
discover,116,4,-112
cost,124,11,-113
through,143,27,-116
library,119,0,-119
guides,119,0,-119
articles,123,1,-122
provide,238,108,-130
give,144,9,-135
manage,159,23,-136
services,153,15,-138
bay,165,12,-153
highly,184,15,-169
scientist,182,11,-171
centers,175,2,-173
your,226,46,-180
team,230,41,-189
get,238,33,-205
clinics,214,7,-207
emergency,248,39,-209
acute,230,14,-216
appointments,223,0,-223
medical,334,78,-256
ucsf,466,153,-313
center,390,62,-328
quality,423,81,-342
research,446,87,-359
mission,382,13,-369
patient,989,314,-675
stanford,931,160,-771
health,1878,638,-1240
